[GIN] 2024/11/18 - 12:29:12 | 204 |      14.307µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_cianjur___kabupaten_sukabumi"
[GIN] 2024/11/18 - 12:29:13 | 200 |  105.832352ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cianjur___kabupaten_sukabumi"
[GIN] 2024/11/18 - 12:29:13 | 404 |      1.9712ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cianjur___kabupaten_sukabumi"
[GIN] 2024/11/18 - 12:29:13 | 200 |    2.218825ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:13 | 404 |    2.446682ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cianjur___kabupaten_sukabumi"
[GIN] 2024/11/18 - 12:29:13 | 204 |      19.883µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bandung___kabupaten_bandung_barat"
[GIN] 2024/11/18 - 12:29:13 | 200 |  116.831335ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kabupaten_bandung_barat"
[GIN] 2024/11/18 - 12:29:13 | 200 |    2.946265ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:13 | 404 |    5.872455ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kabupaten_bandung_barat"
[GIN] 2024/11/18 - 12:29:14 | 404 |    5.532703ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kabupaten_bandung_barat"
[GIN] 2024/11/18 - 12:29:14 | 204 |      14.847µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_ciamis___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:14 | 204 |       7.759µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_ciamis___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:14 | 404 |   48.971565ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:14 | 200 |  132.217867ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:14 | 200 |    3.602616ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:14 | 404 |    7.592482ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:14 | 404 |    5.794051ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_cilacap"
[GIN] 2024/11/18 - 12:29:15 | 204 |       6.589µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 200 |  1.695642755s |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 404 |  806.906252ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 404 |  1.484803269s |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 404 |  504.477411ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 404 |   1.31061111s |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 404 |  1.581325761s |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:17 | 200 |     714.534µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:17 | 404 |      2.0149ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kota_depok___kota_tangerang_selatan"
[GIN] 2024/11/18 - 12:29:18 | 204 |      13.943µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_cianjur___kabupaten_bandung"
[GIN] 2024/11/18 - 12:29:18 | 200 |   49.063313ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cianjur___kabupaten_bandung"
[GIN] 2024/11/18 - 12:29:18 | 200 |    2.928303ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:19 | 204 |      14.794µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bandung___kabupaten_sumedang"
[GIN] 2024/11/18 - 12:29:19 | 200 |   62.972114ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kabupaten_sumedang"
[GIN] 2024/11/18 - 12:29:19 | 200 |     724.589µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:20 | 204 |      14.939µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_cianjur___kabupaten_bandung_barat"
[GIN] 2024/11/18 - 12:29:20 | 200 |   52.174612ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cianjur___kabupaten_bandung_barat"
[GIN] 2024/11/18 - 12:29:20 | 200 |     964.196µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:20 | 204 |      15.936µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_cirebon___kabupaten_kuningan"
[GIN] 2024/11/18 - 12:29:20 | 200 |   55.939438ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cirebon___kabupaten_kuningan"
[GIN] 2024/11/18 - 12:29:21 | 200 |    2.647703ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:21 | 204 |      14.134µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_kuningan___kabupaten_majalengka"
[GIN] 2024/11/18 - 12:29:21 | 200 |   47.313264ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_kuningan___kabupaten_majalengka"
[GIN] 2024/11/18 - 12:29:21 | 200 |     773.274µs |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:22 | 204 |      15.916µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_indramayu___kabupaten_sumedang"
[GIN] 2024/11/18 - 12:29:22 | 200 |   49.667729ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_indramayu___kabupaten_sumedang"
[GIN] 2024/11/18 - 12:29:22 | 200 |    2.766167ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:22 | 204 |      15.338µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_bandung___kabupaten_subang"
[GIN] 2024/11/18 - 12:29:22 | 200 |   62.206404ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_bandung___kabupaten_subang"
[GIN] 2024/11/18 - 12:29:22 | 200 |    2.603835ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:23 | 204 |      19.248µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_cianjur___kabupaten_garut"
[GIN] 2024/11/18 - 12:29:23 | 200 |   48.138824ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_cianjur___kabupaten_garut"
[GIN] 2024/11/18 - 12:29:23 | 200 |    2.637282ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:23 | 204 |      14.492µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_kuningan___kabupaten_brebes"
[GIN] 2024/11/18 - 12:29:24 | 200 |   53.888343ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_kuningan___kabupaten_brebes"
[GIN] 2024/11/18 - 12:29:24 | 200 |    2.819928ms |    36.72.61.205 | GET      "/spatial-data"
[GIN] 2024/11/18 - 12:29:24 | 204 |      23.336µs |    36.72.61.205 | OPTIONS  "/spatial-data/segmen_kabupaten_ciamis___kabupaten_kuningan"
[GIN] 2024/11/18 - 12:29:24 | 200 |   57.233038ms |    36.72.61.205 | DELETE   "/spatial-data/segmen_kabupaten_ciamis___kabupaten_kuningan"
